Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
9,8,2012,United,SFO,LAX,0,1,0,0,0,0,60
11,2,2012,United,EWR,DEN,0,5,0,1,0,0,226
31,5,2012,United,EWR,ORD,,,1,0,0,0,
24,3,2012,United,SFO,DEN,1,-2,0,0,0,0,113
15,3,2012,United,LAS,LAX,0,7,0,0,0,0,53
24,7,2012,United,JFK,SFO,6,16,0,1,0,0,340
12,12,2012,United,LAX,DEN,15,2,0,0,0,1,99
5,4,2012,United,ORD,ATL,0,-8,0,0,0,0,75
22,3,2012,United,LAX,DEN,23,25,0,0,0,0,113
5,1,2012,United,LAX,SFO,0,-6,0,0,0,0,58
29,5,2012,United,SFO,LAX,75,65,0,0,0,0,51
24,7,2012,United,LAX,SFO,31,21,0,0,0,0,50
31,5,2012,United,SFO,EWR,12,-3,0,0,0,0,290
24,2,2012,United,SFO,LAX,,,1,1,0,0,
15,2,2012,United,LAX,SFO,,,1,0,1,0,
29,12,2012,United,LAS,DEN,2,0,0,0,0,1,83
21,4,2012,United,SFO,MIA,0,51,0,0,0,0,281
24,1,2012,United,LAX,ORD,0,-23,0,1,0,0,191
8,3,2012,United,BOS,LAX,0,4,0,0,1,0,348
6,6,2012,United,ORD,SFO,0,-21,0,1,0,0,232
3,4,2012,United,LAX,LAS,0,-9,0,0,0,0,42
3,5,2012,United,EWR,LAX,0,-18,0,0,0,0,300
11,12,2012,United,SFO,LAX,-2,-16,0,0,0,1,49
13,9,2012,United,LAX,LAS,8,4,0,0,0,0,42
13,6,2012,United,ORD,BOS,,,1,1,1,0,
6,7,2012,United,SFO,LAX,152,152,0,0,0,0,55
5,6,2012,United,ORD,EWR,0,-17,0,0,0,0,87
14,1,2012,United,SFO,LAX,0,-4,0,0,0,0,56
7,7,2012,United,SFO,DEN,31,64,0,0,0,0,114
25,2,2012,United,SFO,ORD,38,30,0,1,1,0,211
31,8,2012,United,ORD,DFW,22,21,0,0,0,0,101
2,10,2012,United,SFO,DEN,12,-12,0,0,0,1,112
21,12,2012,United,ORD,ATL,27,27,0,0,0,1,89
7,8,2012,United,SFO,BOS,,,1,1,1,0,
4,9,2012,United,LAS,ORD,11,13,0,0,0,0,173
30,10,2012,United,EWR,ORD,-2,-21,0,0,0,1,99
6,6,2012,United,ORD,EWR,85,98,0,1,1,0,115
31,1,2012,United,SFO,LAS,0,-2,0,1,0,0,60
18,5,2012,United,ORD,BOS,0,1,0,0,0,0,108
8,8,2012,United,SFO,LAX,11,22,0,1,0,0,56
11,10,2012,United,LAX,SFO,,,1,1,1,1,
8,12,2012,United,EWR,DEN,1,32,0,0,0,1,257
25,5,2012,United,ORD,LAX,0,-5,0,0,0,0,230
29,3,2012,United,LAX,ORD,1,4,0,0,0,0,202
1,3,2012,United,SFO,JFK,0,-13,0,0,0,0,285
6,10,2012,United,ORD,EWR,70,46,0,1,1,1,83
16,11,2012,United,LAX,ORD,135,127,0,0,0,1,203
5,6,2012,United,BOS,SFO,3,-1,0,1,0,0,352
25,5,2012,United,EWR,ORD,,,1,0,0,0,
25,4,2012,United,LAX,SFO,1,-3,0,0,0,0,52
24,2,2012,United,LAS,ORD,0,23,0,1,1,0,185
12,7,2012,United,SFO,LAX,0,8,0,0,0,0,57
25,9,2012,United,LAX,SFO,4,4,0,0,0,0,49
25,2,2012,United,LAX,ORD,0,-5,0,1,1,0,201
22,8,2012,United,SFO,LAX,0,10,0,0,0,0,57
17,8,2012,United,LAS,SFO,257,247,0,1,0,0,63
21,4,2012,United,LAX,MIA,58,50,0,0,0,0,244
25,9,2012,United,LAX,SFO,0,-3,0,0,0,0,48
27,7,2012,United,ORD,SFO,78,116,0,0,0,0,245
2,8,2012,United,LAX,SFO,35,32,0,0,0,0,49
3,1,2012,United,BOS,ORD,58,114,0,1,0,0,152
6,6,2012,United,LAS,ORD,5,16,0,0,1,0,184
4,1,2012,United,ORD,BOS,15,108,0,0,1,0,127
26,10,2012,United,ORD,ATL,25,26,0,0,0,1,87
8,8,2012,United,SFO,ORD,18,15,0,1,0,0,213
17,1,2012,United,LAX,SFO,37,56,0,1,1,0,76
16,11,2012,United,LAX,DEN,-2,-2,0,0,0,1,102
18,1,2012,United,LAX,SFO,75,86,0,1,1,0,76
